task_id,seed,condition,opportunity_id,sequence,tool_name,candidate_arguments,visible_evidence,ist_entscheidung,reason_code,required_response,final_disposition,decision_has_visible_evidence_auto,decision_candidate_matches_input_auto,decision_trace_consistent_auto
0,976301,C2_PREWRITE_CONTROL,BOP-0001,0,exchange_delivered_order_items,"{""item_ids"": [""1151293680"", ""4983901480""], ""new_item_ids"": [""7706410293"", ""7747408585""], ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}","{""authenticated_user_id"": ""yusuf_rossi_9620"", ""authentication_source_event_ids"": [""tool:call_bUQXDymfhhL1uQbc6JWFeOWX:find_user_id_by_name_zip""], ""order"": {""item_ids"": [""4202497723"", ""4602305039"", ""1151293680"", ""4983901480"", ""9408160950""], ""order_id"": ""#W2378156"", ""source_event_ids"": [""tool:call_VerqFuvqwM0ERnvxMrvk9pIW:get_order_details""], ""status"": ""delivered"", ""user_id"": ""yusuf_rossi_9620""}, ""products"": [{""observed"": true, ""product_id"": ""1656367028"", ""source_event_ids"": [""tool:call_YlgOFUoV34dBbEClHQL8I4u5:get_product_details""]}, {""observed"": false, ""product_id"": ""1762337868"", ""source_event_ids"": []}, {""observed"": true, ""product_id"": ""4896585277"", ""source_event_ids"": [""tool:call_lzFZ6ILaN16V3F3z3gPctgOM:get_product_details""]}, {""observed"": false, ""product_id"": ""6945232052"", ""source_event_ids"": []}, {""observed"": false, ""product_id"": ""6992792935"", ""source_event_ids"": []}], ""user_profile"": null}",EVIDENCE_REQUIRED,B_PAYMENT_PROFILE_NOT_OBSERVED,Read the authenticated user profile before reconsidering the payment method.,held_for_evidence,True,True,True
0,976301,C2_PREWRITE_CONTROL,BOP-0002,3,exchange_delivered_order_items,"{""item_ids"": [""1151293680"", ""4983901480""], ""new_item_ids"": [""7706410293"", ""7747408585""], ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}","{""authenticated_user_id"": ""yusuf_rossi_9620"", ""authentication_source_event_ids"": [""tool:call_bUQXDymfhhL1uQbc6JWFeOWX:find_user_id_by_name_zip""], ""order"": {""item_ids"": [""4202497723"", ""4602305039"", ""1151293680"", ""4983901480"", ""9408160950""], ""order_id"": ""#W2378156"", ""source_event_ids"": [""tool:call_VerqFuvqwM0ERnvxMrvk9pIW:get_order_details""], ""status"": ""delivered"", ""user_id"": ""yusuf_rossi_9620""}, ""products"": [{""observed"": true, ""product_id"": ""1656367028"", ""source_event_ids"": [""tool:call_YlgOFUoV34dBbEClHQL8I4u5:get_product_details""]}, {""observed"": false, ""product_id"": ""1762337868"", ""source_event_ids"": []}, {""observed"": true, ""product_id"": ""4896585277"", ""source_event_ids"": [""tool:call_lzFZ6ILaN16V3F3z3gPctgOM:get_product_details""]}, {""observed"": false, ""product_id"": ""6945232052"", ""source_event_ids"": []}, {""observed"": false, ""product_id"": ""6992792935"", ""source_event_ids"": []}], ""user_profile"": {""payment_method_ids"": [""credit_card_9513926""], ""source_event_ids"": [""tool:factorial_b_read_16_3:get_user_details""], ""user_id"": ""yusuf_rossi_9620""}}",VALID_UNCHANGED,B_FEASIBILITY_VALID_CONFIRMATION_NATIVE_SCOPE,Reconsider the candidate using only visible evidence and Retail policy.,executed_unchanged,True,True,True
0,976301,C3_COMBINED_INTERVENTION,BOP-0001,4,exchange_delivered_order_items,"{""item_ids"": [""1151293680"", ""4983901480""], ""new_item_ids"": [""7706410293"", ""7747408585""], ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}","{""authenticated_user_id"": ""yusuf_rossi_9620"", ""authentication_source_event_ids"": [""tool:call_rY7iDwJoYP2k2sZVm77FNhMm:find_user_id_by_name_zip""], ""order"": {""item_ids"": [""4202497723"", ""4602305039"", ""1151293680"", ""4983901480"", ""9408160950""], ""order_id"": ""#W2378156"", ""source_event_ids"": [""tool:call_neR1vw5Ms3B33vxJOLBSAha2:get_order_details""], ""status"": ""delivered"", ""user_id"": ""yusuf_rossi_9620""}, ""products"": [{""observed"": true, ""product_id"": ""1656367028"", ""source_event_ids"": [""tool:call_6ovj6nMH1pOSgrYiefq1dEWc:get_product_details""]}, {""observed"": false, ""product_id"": ""1762337868"", ""source_event_ids"": []}, {""observed"": true, ""product_id"": ""4896585277"", ""source_event_ids"": [""tool:call_mQP5ZLMTgJbR8Im7kBK4fMfH:get_product_details""]}, {""observed"": false, ""product_id"": ""6945232052"", ""source_event_ids"": []}, {""observed"": false, ""product_id"": ""6992792935"", ""source_event_ids"": []}], ""user_profile"": {""payment_method_ids"": [""credit_card_9513926""], ""source_event_ids"": [""tool:call_IaVcoshHclIbjmuzuQnjYNkR:get_user_details""], ""user_id"": ""yusuf_rossi_9620""}}",VALID_UNCHANGED,B_FEASIBILITY_VALID_CONFIRMATION_NATIVE_SCOPE,Reconsider the candidate using only visible evidence and Retail policy.,executed_unchanged,True,True,True
0,976302,C2_PREWRITE_CONTROL,BOP-0001,0,exchange_delivered_order_items,"{""item_ids"": [""1151293680"", ""4983901480""], ""new_item_ids"": [""6342039236"", ""7747408585""], ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}","{""authenticated_user_id"": ""yusuf_rossi_9620"", ""authentication_source_event_ids"": [""tool:call_p8SzWDotLlYQfcMhaUnwBNT3:find_user_id_by_name_zip""], ""order"": {""item_ids"": [""4202497723"", ""4602305039"", ""1151293680"", ""4983901480"", ""9408160950""], ""order_id"": ""#W2378156"", ""source_event_ids"": [""tool:call_x8vrK6GJHjC3hK8IDXjpZveM:get_order_details""], ""status"": ""delivered"", ""user_id"": ""yusuf_rossi_9620""}, ""products"": [{""observed"": true, ""product_id"": ""1656367028"", ""source_event_ids"": [""tool:call_SaGi0dNbwM9SeDzOUfatAKQT:get_product_details""]}, {""observed"": false, ""product_id"": ""1762337868"", ""source_event_ids"": []}, {""observed"": true, ""product_id"": ""4896585277"", ""source_event_ids"": [""tool:call_1t0lT3jFPfQGM5EUu0MEhWw3:get_product_details""]}, {""observed"": false, ""product_id"": ""6945232052"", ""source_event_ids"": []}, {""observed"": false, ""product_id"": ""6992792935"", ""source_event_ids"": []}], ""user_profile"": {""payment_method_ids"": [""credit_card_9513926""], ""source_event_ids"": [""tool:call_Jn5o9dyqojaFlko75TLSFJCZ:get_user_details""], ""user_id"": ""yusuf_rossi_9620""}}",VALID_UNCHANGED,B_FEASIBILITY_VALID_CONFIRMATION_NATIVE_SCOPE,Reconsider the candidate using only visible evidence and Retail policy.,executed_unchanged,True,True,True
0,976302,C3_COMBINED_INTERVENTION,BOP-0001,17,exchange_delivered_order_items,"{""item_ids"": [""1151293680"", ""4983901480""], ""new_item_ids"": [""7706410293"", ""7747408585""], ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}","{""authenticated_user_id"": ""yusuf_rossi_9620"", ""authentication_source_event_ids"": [""tool:call_HqrM4oAsQTXiFOuB6jd6ipdM:find_user_id_by_name_zip""], ""order"": {""item_ids"": [""4202497723"", ""4602305039"", ""1151293680"", ""4983901480"", ""9408160950""], ""order_id"": ""#W2378156"", ""source_event_ids"": [""tool:call_lvXOpUY5KfE5pG3bu4luv5pF:get_order_details""], ""status"": ""delivered"", ""user_id"": ""yusuf_rossi_9620""}, ""products"": [{""observed"": true, ""product_id"": ""1656367028"", ""source_event_ids"": [""tool:call_VC4jzIyZxfnQXz1hFA472S7P:get_product_details""]}, {""observed"": false, ""product_id"": ""1762337868"", ""source_event_ids"": []}, {""observed"": true, ""product_id"": ""4896585277"", ""source_event_ids"": [""tool:call_pluS1BBl20G3toNbJ8KM5QRM:get_product_details""]}, {""observed"": false, ""product_id"": ""6945232052"", ""source_event_ids"": []}, {""observed"": false, ""product_id"": ""6992792935"", ""source_event_ids"": []}], ""user_profile"": null}",EVIDENCE_REQUIRED,B_PAYMENT_PROFILE_NOT_OBSERVED,Read the authenticated user profile before reconsidering the payment method.,held_for_evidence,True,True,True
0,976302,C3_COMBINED_INTERVENTION,BOP-0002,22,exchange_delivered_order_items,"{""item_ids"": [""1151293680"", ""4983901480""], ""new_item_ids"": [""7706410293"", ""7747408585""], ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}","{""authenticated_user_id"": ""yusuf_rossi_9620"", ""authentication_source_event_ids"": [""tool:call_HqrM4oAsQTXiFOuB6jd6ipdM:find_user_id_by_name_zip""], ""order"": {""item_ids"": [""4202497723"", ""4602305039"", ""1151293680"", ""4983901480"", ""9408160950""], ""order_id"": ""#W2378156"", ""source_event_ids"": [""tool:call_lvXOpUY5KfE5pG3bu4luv5pF:get_order_details""], ""status"": ""delivered"", ""user_id"": ""yusuf_rossi_9620""}, ""products"": [{""observed"": true, ""product_id"": ""1656367028"", ""source_event_ids"": [""tool:call_VC4jzIyZxfnQXz1hFA472S7P:get_product_details""]}, {""observed"": false, ""product_id"": ""1762337868"", ""source_event_ids"": []}, {""observed"": true, ""product_id"": ""4896585277"", ""source_event_ids"": [""tool:call_pluS1BBl20G3toNbJ8KM5QRM:get_product_details""]}, {""observed"": false, ""product_id"": ""6945232052"", ""source_event_ids"": []}, {""observed"": false, ""product_id"": ""6992792935"", ""source_event_ids"": []}], ""user_profile"": {""payment_method_ids"": [""credit_card_9513926""], ""source_event_ids"": [""tool:factorial_b_read_16_20:get_user_details""], ""user_id"": ""yusuf_rossi_9620""}}",VALID_UNCHANGED,B_FEASIBILITY_VALID_CONFIRMATION_NATIVE_SCOPE,Reconsider the candidate using only visible evidence and Retail policy.,executed_unchanged,True,True,True
0,976303,C2_PREWRITE_CONTROL,BOP-0001,0,exchange_delivered_order_items,"{""item_ids"": [""1151293680"", ""4983901480""], ""new_item_ids"": [""6342039236"", ""7747408585""], ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}","{""authenticated_user_id"": ""yusuf_rossi_9620"", ""authentication_source_event_ids"": [""tool:call_N3bFFlMBX9Jex9thDn0owpNc:find_user_id_by_name_zip""], ""order"": {""item_ids"": [""4202497723"", ""4602305039"", ""1151293680"", ""4983901480"", ""9408160950""], ""order_id"": ""#W2378156"", ""source_event_ids"": [""tool:call_xirHx9veeWlHErUaoijXOAod:get_order_details""], ""status"": ""delivered"", ""user_id"": ""yusuf_rossi_9620""}, ""products"": [{""observed"": true, ""product_id"": ""1656367028"", ""source_event_ids"": [""tool:call_FMB3HmNMS4Lr4RKUu3WaZsqy:get_product_details""]}, {""observed"": false, ""product_id"": ""1762337868"", ""source_event_ids"": []}, {""observed"": true, ""product_id"": ""4896585277"", ""source_event_ids"": [""tool:call_CMqlVq7kp050C2D8Vtn3Ak3q:get_product_details""]}, {""observed"": false, ""product_id"": ""6945232052"", ""source_event_ids"": []}, {""observed"": false, ""product_id"": ""6992792935"", ""source_event_ids"": []}], ""user_profile"": null}",EVIDENCE_REQUIRED,B_PAYMENT_PROFILE_NOT_OBSERVED,Read the authenticated user profile before reconsidering the payment method.,held_for_evidence,True,True,True
0,976303,C2_PREWRITE_CONTROL,BOP-0002,3,exchange_delivered_order_items,"{""item_ids"": [""1151293680"", ""4983901480""], ""new_item_ids"": [""6342039236"", ""7747408585""], ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}","{""authenticated_user_id"": ""yusuf_rossi_9620"", ""authentication_source_event_ids"": [""tool:call_N3bFFlMBX9Jex9thDn0owpNc:find_user_id_by_name_zip""], ""order"": {""item_ids"": [""4202497723"", ""4602305039"", ""1151293680"", ""4983901480"", ""9408160950""], ""order_id"": ""#W2378156"", ""source_event_ids"": [""tool:call_xirHx9veeWlHErUaoijXOAod:get_order_details""], ""status"": ""delivered"", ""user_id"": ""yusuf_rossi_9620""}, ""products"": [{""observed"": true, ""product_id"": ""1656367028"", ""source_event_ids"": [""tool:call_FMB3HmNMS4Lr4RKUu3WaZsqy:get_product_details""]}, {""observed"": false, ""product_id"": ""1762337868"", ""source_event_ids"": []}, {""observed"": true, ""product_id"": ""4896585277"", ""source_event_ids"": [""tool:call_CMqlVq7kp050C2D8Vtn3Ak3q:get_product_details""]}, {""observed"": false, ""product_id"": ""6945232052"", ""source_event_ids"": []}, {""observed"": false, ""product_id"": ""6992792935"", ""source_event_ids"": []}], ""user_profile"": {""payment_method_ids"": [""credit_card_9513926""], ""source_event_ids"": [""tool:factorial_b_read_18_3:get_user_details""], ""user_id"": ""yusuf_rossi_9620""}}",VALID_UNCHANGED,B_FEASIBILITY_VALID_CONFIRMATION_NATIVE_SCOPE,Reconsider the candidate using only visible evidence and Retail policy.,executed_unchanged,True,True,True
0,976303,C3_COMBINED_INTERVENTION,BOP-0001,8,exchange_delivered_order_items,"{""item_ids"": [""1151293680"", ""4983901480""], ""new_item_ids"": [""6342039236"", ""7747408585""], ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}","{""authenticated_user_id"": ""yusuf_rossi_9620"", ""authentication_source_event_ids"": [""tool:call_Bbi9U3jGMmsDO4PYMQOfAg8T:find_user_id_by_name_zip""], ""order"": {""item_ids"": [""4202497723"", ""4602305039"", ""1151293680"", ""4983901480"", ""9408160950""], ""order_id"": ""#W2378156"", ""source_event_ids"": [""tool:call_IzVF9cfZpozJcD8kbJkbp1XX:get_order_details""], ""status"": ""delivered"", ""user_id"": ""yusuf_rossi_9620""}, ""products"": [{""observed"": true, ""product_id"": ""1656367028"", ""source_event_ids"": [""tool:call_VxKzYwScXdrOpP8w0sNeQEOt:get_product_details""]}, {""observed"": false, ""product_id"": ""1762337868"", ""source_event_ids"": []}, {""observed"": true, ""product_id"": ""4896585277"", ""source_event_ids"": [""tool:call_7nCsynPr5ZoFxWLVdYSP1Bnr:get_product_details""]}, {""observed"": false, ""product_id"": ""6945232052"", ""source_event_ids"": []}, {""observed"": false, ""product_id"": ""6992792935"", ""source_event_ids"": []}], ""user_profile"": {""payment_method_ids"": [""credit_card_9513926""], ""source_event_ids"": [""tool:call_iOWUmH4F7Ty9KHUksBooRGJg:get_user_details""], ""user_id"": ""yusuf_rossi_9620""}}",VALID_UNCHANGED,B_FEASIBILITY_VALID_CONFIRMATION_NATIVE_SCOPE,Reconsider the candidate using only visible evidence and Retail policy.,executed_unchanged,True,True,True
0,976304,C2_PREWRITE_CONTROL,BOP-0001,0,exchange_delivered_order_items,"{""item_ids"": [""1151293680"", ""4983901480""], ""new_item_ids"": [""7706410293"", ""7747408585""], ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}","{""authenticated_user_id"": ""yusuf_rossi_9620"", ""authentication_source_event_ids"": [""tool:call_py9cdYV6fLR9SJLTF5apGzzl:find_user_id_by_name_zip""], ""order"": {""item_ids"": [""4202497723"", ""4602305039"", ""1151293680"", ""4983901480"", ""9408160950""], ""order_id"": ""#W2378156"", ""source_event_ids"": [""tool:call_COqVKhJxdHgCTOAsNcVehH9d:get_order_details""], ""status"": ""delivered"", ""user_id"": ""yusuf_rossi_9620""}, ""products"": [{""observed"": true, ""product_id"": ""1656367028"", ""source_event_ids"": [""tool:call_8qQRHfVijZNjxfOohmRoHUxe:get_product_details""]}, {""observed"": false, ""product_id"": ""1762337868"", ""source_event_ids"": []}, {""observed"": true, ""product_id"": ""4896585277"", ""source_event_ids"": [""tool:call_1OXo9SxoCIi7qXErRlWHj7TU:get_product_details""]}, {""observed"": false, ""product_id"": ""6945232052"", ""source_event_ids"": []}, {""observed"": false, ""product_id"": ""6992792935"", ""source_event_ids"": []}], ""user_profile"": {""payment_method_ids"": [""credit_card_9513926""], ""source_event_ids"": [""tool:call_L4hSf58eWlmLlC83piQmpLAp:get_user_details""], ""user_id"": ""yusuf_rossi_9620""}}",VALID_UNCHANGED,B_FEASIBILITY_VALID_CONFIRMATION_NATIVE_SCOPE,Reconsider the candidate using only visible evidence and Retail policy.,executed_unchanged,True,True,True
