task_id,seed,condition,a_cards,a_write_linked_cards,b_candidates,b_material_decisions,db_transition,exact_transition,c0_db_match,treatment_db_match,c0_exact_mutation,treatment_exact_mutation,treatment_diagnostics,attributionsstaerke,attributionsbegruendung
0,976301,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_fail,stable_fail,0,0,0,0,"[{""actual"": {""item_id"": ""1151293680"", ""new_item_id"": ""6342039236"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": {""item_id"": ""1151293680"", ""new_item_id"": ""7706410293"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""wrong_parameter""}]",,
0,976301,C2_PREWRITE_CONTROL,0,0,2,1,saved,saved,0,1,0,1,[],,
0,976301,C3_COMBINED_INTERVENTION,0,0,1,0,saved,saved,0,1,0,1,[],,
0,976302,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
0,976302,C2_PREWRITE_CONTROL,0,0,1,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""1151293680"", ""new_item_id"": ""6342039236"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": {""item_id"": ""1151293680"", ""new_item_id"": ""7706410293"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""wrong_parameter""}]",,
0,976302,C3_COMBINED_INTERVENTION,3,1,2,1,stable_pass,stable_pass,1,1,1,1,[],,
0,976303,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
0,976303,C2_PREWRITE_CONTROL,0,0,2,1,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""1151293680"", ""new_item_id"": ""6342039236"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": {""item_id"": ""1151293680"", ""new_item_id"": ""7706410293"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""wrong_parameter""}]",,
0,976303,C3_COMBINED_INTERVENTION,2,1,1,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""1151293680"", ""new_item_id"": ""6342039236"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": {""item_id"": ""1151293680"", ""new_item_id"": ""7706410293"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""wrong_parameter""}]",,
0,976304,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
0,976304,C2_PREWRITE_CONTROL,0,0,1,0,stable_pass,stable_pass,1,1,1,1,[],,
0,976304,C3_COMBINED_INTERVENTION,2,1,2,1,stable_pass,stable_pass,1,1,1,1,[],,
0,976305,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
0,976305,C2_PREWRITE_CONTROL,0,0,2,1,stable_pass,stable_pass,1,1,1,1,[],,
0,976305,C3_COMBINED_INTERVENTION,0,0,2,1,stable_pass,stable_pass,1,1,1,1,[],,
0,976306,C1_SEMANTIC_SUPPORT,2,1,0,0,saved,saved,0,1,0,1,[],,
0,976306,C2_PREWRITE_CONTROL,0,0,1,0,stable_fail,stable_fail,0,0,0,0,"[{""actual"": {""item_id"": ""1151293680"", ""new_item_id"": ""6342039236"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": {""item_id"": ""1151293680"", ""new_item_id"": ""7706410293"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""wrong_parameter""}]",,
0,976306,C3_COMBINED_INTERVENTION,0,0,1,0,stable_fail,stable_fail,0,0,0,0,"[{""actual"": {""item_id"": ""1151293680"", ""new_item_id"": ""6342039236"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": {""item_id"": ""1151293680"", ""new_item_id"": ""7706410293"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""kind"": ""wrong_parameter""}]",,
1,976301,C1_SEMANTIC_SUPPORT,0,0,0,0,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""1151293680"", ""new_item_id"": ""6342039236"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
1,976301,C2_PREWRITE_CONTROL,0,0,2,1,stable_pass,stable_pass,1,1,1,1,[],,
1,976301,C3_COMBINED_INTERVENTION,3,1,2,1,broken,broken,1,0,1,0,"[{""actual"": {""item_id"": ""1151293680"", ""new_item_id"": ""6342039236"", ""operation"": ""exchange_delivered_order_items"", ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}, ""expected"": null, ""kind"": ""extra_effect""}]",,
1,976302,C1_SEMANTIC_SUPPORT,2,1,0,0,stable_pass,stable_pass,1,1,1,1,[],,
1,976302,C2_PREWRITE_CONTROL,0,0,2,1,stable_pass,stable_pass,1,1,1,1,[],,
1,976302,C3_COMBINED_INTERVENTION,2,1,2,1,stable_pass,stable_pass,1,1,1,1,[],,
