study_id,publication_status_at_cutoff,Q1_clear_unit_and_population,Q2_reconstructable_system,Q3_adequate_comparator,Q4_transparent_ground_truth_or_outcome,Q5_repeatability_uncertainty_or_open_artifact,appraisal_use
2406.12045,E1_REGULAR_PEER_REVIEWED,YES,YES,YES,YES,YES,CENTRAL_CLAIM_ELIGIBLE
2408.04682,E1_REGULAR_PEER_REVIEWED,YES,YES,YES,YES,YES,CENTRAL_CLAIM_ELIGIBLE
2503.08669,E3_PREPRINT,YES,YES,YES,YES,YES,FRONTIER_SUPPLEMENT_ONLY
2506.07982,E1_REGULAR_PEER_REVIEWED,YES,YES,YES,YES,YES,CENTRAL_CLAIM_ELIGIBLE
2506.09600,E1_REGULAR_PEER_REVIEWED,YES,YES,YES,YES,PARTIAL,CENTRAL_CLAIM_ELIGIBLE
RS-0019,E2_REVIEWED_WORKSHOP,YES,YES,YES,YES,YES,SUPPORTING_OR_TRIANGULATED
RS-0060,E2_REVIEWED_WORKSHOP,YES,YES,PARTIAL,YES,PARTIAL,SUPPORTING_OR_TRIANGULATED
RS-0071,E1_REGULAR_PEER_REVIEWED,YES,YES,YES,YES,PARTIAL,CENTRAL_CLAIM_ELIGIBLE
RS-0084,E3_PREPRINT,YES,YES,PARTIAL,YES,PARTIAL,FRONTIER_SUPPLEMENT_ONLY
RS-0103,E3_PREPRINT,YES,YES,PARTIAL,YES,PARTIAL,FRONTIER_SUPPLEMENT_ONLY
RS-0107,E1_REGULAR_PEER_REVIEWED,YES,YES,YES,YES,YES,CENTRAL_CLAIM_ELIGIBLE
RS-0121,E2_REVIEWED_WORKSHOP,YES,YES,YES,YES,PARTIAL,SUPPORTING_OR_TRIANGULATED
RS-0132,E3_PREPRINT,YES,YES,YES,YES,PARTIAL,FRONTIER_SUPPLEMENT_ONLY
RS-0153,E1_REGULAR_PEER_REVIEWED,YES,YES,YES,YES,YES,CENTRAL_CLAIM_ELIGIBLE
RS-0217,E2_REVIEWED_WORKSHOP,YES,YES,YES,YES,PARTIAL,SUPPORTING_OR_TRIANGULATED
RS-0225,E3_PREPRINT,YES,YES,YES,YES,PARTIAL,FRONTIER_SUPPLEMENT_ONLY
RS-0231,E3_CAUTION_PREPRINT,YES,YES,PARTIAL,YES,YES,FRONTIER_SUPPLEMENT_ONLY
RS-0243,E2_REVIEWED_WORKSHOP,YES,YES,YES,YES,PARTIAL,SUPPORTING_OR_TRIANGULATED
RS-0263,E3_PREPRINT,YES,YES,YES,YES,PARTIAL,FRONTIER_SUPPLEMENT_ONLY
RS-0280,E1_REGULAR_PEER_REVIEWED,YES,YES,YES,YES,YES,CENTRAL_CLAIM_ELIGIBLE
RS-0292,E1_REGULAR_PEER_REVIEWED,YES,YES,YES,YES,PARTIAL,CENTRAL_CLAIM_ELIGIBLE
RS-0301,E1_REGULAR_PEER_REVIEWED,YES,YES,YES,YES,PARTIAL,CENTRAL_CLAIM_ELIGIBLE
RS-0323,E3_PREPRINT,YES,YES,YES,YES,PARTIAL,FRONTIER_SUPPLEMENT_ONLY
RS-0327,E3_CAUTION_PREPRINT,YES,YES,YES,YES,PARTIAL,FRONTIER_SUPPLEMENT_ONLY
ACM-0001,E1_REGULAR_PEER_REVIEWED,YES,YES,YES,YES,YES,CENTRAL_CLAIM_ELIGIBLE
